time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=37, tm_wday=6, tm_yday=199, tm_isdst=0)C55 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=39, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=42, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=44, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=47, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=49, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=52, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=54, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=57, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=59, tm_wday=6, tm_yday=199, tm_isdst=0)C68 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=2, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=4, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=7, tm_wday=6, tm_yday=199, tm_isdst=0)C55 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=9, tm_wday=6, tm_yday=199, tm_isdst=0)C63 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=12, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=14, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=17, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=19, tm_wday=6, tm_yday=199, tm_isdst=0)C63 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=22, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=24, tm_wday=6, tm_yday=199, tm_isdst=0)C62 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=27, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=29, tm_wday=6, tm_yday=199, tm_isdst=0)C65 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=32, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
